number;quantity;;;;;;;;;;;;;
-34;30;;;;;;;;;;;;;
-33;44;;;;;;;;;;;;;
-32;57;;;;;;;;;;;;;
-31;74;;;;;;;;;;;;;
-30;54;;;;;;;;;;;;;
-29;54;;;;;;;;;;;;;
-28;68;;;;;;;;;;;;;
-27;85;;;;;;;;;;;;;
-26;67;;;;;;;;;;;;;
-25;92;;;;;;;;;;;;;
-24;97;;;;;;;;;;;;;
-23;91;;;;;;;;;;;;;
-22;129;;;;;;;;;;;;;
-21;125;;;;;;;;;;;;;
-20;136;;;;;;;;;;;;;
-19;158;;;;;;;;;;;;;
-18;134;;;;;;;;;;;;;
-17;192;;;;;;;;;;;;;
-16;197;;;;;;;;;;;;;
-15;221;;;;;;;;;;;;;
-14;252;;;;;;;;;;;;;
-13;324;;;;;;;;;;;;;
-12;382;;;;;;;;;;;;;
-11;432;;;;;;;;;;;;;
-10;517;;;;;;;;;;;;;
-9;694;;;;;;;;;;;;;
-8;942;;;;;;;;;;;;;
-7;1234;;;;;;;;;;;;;
-6;1803;;;;;;;;;;;;;
-5;2340;;;;;;;;;;;;;
-4;3101;;;;;;;;;;;;;
-3;3942;;;;;;;;;;;;;
-2;5027;;;;;;;;;;;;;
-1;5556;;;;;;;;;;;;;
0;5983;;;;;;;;;;;;;
1;5499;;;;;;;;;;;;;
2;4995;;;;;;;;;;;;;
3;4100;;;;;;;;;;;;;
4;3258;;;;;;;;;;;;;
5;2542;;;;;;;;;;;;;
6;1873;;;;;;;;;;;;;
7;1372;;;;;;;;;;;;;
8;938;;;;;;;;;;;;;
9;740;;;;;;;;;;;;;
10;553;;;;;;;;;;;;;
11;439;;;;;;;;;;;;;
12;360;;;;;;;;;;;;;
13;309;;;;;;;;;;;;;
14;234;;;;;;;;;;;;;
15;219;;;;;;;;;;;;;
16;209;;;;;;;;;;;;;
17;184;;;;;;;;;;;;;
18;164;;;;;;;;;;;;;
19;151;;;;;;;;;;;;;
20;123;;;;;;;;;;;;;
21;112;;;;;;;;;;;;;
22;103;;;;;;;;;;;;;
23;89;;;;;;;;;;;;;
24;80;;;;;;;;;;;;;
25;65;;;;;;;;;;;;;
26;76;;;;;;;;;;;;;
27;62;;;;;;;;;;;;;
28;58;;;;;;;;;;;;;
